dimension_id,indicator,value,table_id
a5a60055-3716-4eae-8657-d38280065517,Yes,29 (96.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
c7c0d71f-6c97-42be-a704-b12dc5cc39ba,Yes,19 (63.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
07232150-b381-49bc-8444-a11336c448ad,Yes,24 (80.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
165b1c4a-f55e-406a-ba0c-2846aa0c5536,Yes,24 (80.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
ef566573-2ce1-411a-9e4d-a6136a7b6afe,Yes,27 (90.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2e0852f4-0906-4166-b197-addd89d30420,Yes,21 (70.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2cb20b0a-3f53-43e9-825a-5a4f8194dc84,Yes,25 (83.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
670c5f50-1b20-40bc-a509-8b51c88dd8ff,Yes,11 (36.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
4df1f887-082a-484f-becd-34d5c889630f,Yes,29 (96.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
5a425897-d401-4833-a7e0-43fd40a1eb72,Yes,27 (90.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
