dimension_id,indicator,value,table_id
cdd51a77-f5c4-4c71-9765-7bba9177f17a,2000-2010,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
a3888943-b87b-44c5-8b7a-362419175eb4,2000-2010,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
fb6b1679-98d3-4f92-bbbd-ddc5e928514a,2000-2010,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd,2000-2010,12 (40.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
cf145019-b2dd-428f-9d85-36af5941d916,2000-2010,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
7848402f-1ea7-4a3a-a80a-cbed65eb1340,2000-2010,4 (13.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
e25b4fa0-b089-40b0-bba4-b50702887fdb,2000-2010,5 (16.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
934bdf4e-58d6-44a6-b394-697c12c35ebf,2000-2010,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
1aaec226-b734-4cc8-925d-dbec751c072d,2000-2010,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
46c9c7c7-97de-4f1c-8d0e-8d5b29165bed,2000-2010,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
8b3d094a-3fce-4d4d-9015-25a8cc7d86d7,2010-2020,8 (26.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
10b6f615-4535-4ef9-afe6-437fe4421058,2010-2020,12 (40.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
255078de-af6a-40e9-9cb5-20360118727e,2010-2020,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
698486ff-f6ed-41b5-84db-4b3344f0effd,2010-2020,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
91fe29fc-333e-416a-a150-64d4f7c95801,2010-2020,7 (23.3%),111cf6de-42dd-462a-b221-9aa47eb9a62b
adc39079-b3c2-43b4-be31-dd26a4c74fe9,2010-2020,3 (10.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
f2505be2-1204-4e04-a43b-988cf146ec43,2010-2020,6 (20.0%),111cf6de-42dd-462a-b221-9aa47eb9a62b
9f5349cf-3aea-430e-b8dc-dc5dc0e979b7,2010-2020,2 (6.7%),111cf6de-42dd-462a-b221-9aa47eb9a62b
